Years,LEI,Value_LEI,EUR,Value_EUR,Rate
2005,Millions lei,6815.9,Millions eur,1853.60,3.68
2006,Millions lei,8103.6,Millions eur,2396.31,3.38
2007,Millions lei,10288.1,Millions eur,2849.75,3.61
2008,Millions lei,11924.9,Millions eur,2992.29,3.99
2009,Millions lei,11445,Millions eur,2706.83,4.23
2010,Millions lei,11399.3,Millions eur,2660.41,4.28
2011,Millions lei,12355.1,Millions eur,2860.18,4.32
2012,Millions lei,13727.9,Millions eur,3099.77,4.43
2013,Millions lei,13509.6,Millions eur,3012.38,4.48
2014,Millions lei,14645.7,Millions eur,3267.58,4.48
2015,Millions lei,15624.3,Millions eur,3453.25,4.52
2016,Millions lei,15867.6,Millions eur,3494.22,4.54
2017,Millions lei,17805.2,Millions eur,3821.11,4.66
2018,Millions lei,21024.1,Millions eur,4507.84,4.66
2019,Millions lei,22618.2,Millions eur,4732.54,4.78
2020,Millions lei,24060.7,Millions eur,4941.20,4.87
2021,Millions lei,27833,Millions eur,5624.98,4.95
2022,Millions lei,29605.5,Millions eur,5984.06,4.95
